Shipment_ID,Distance_km,Shipment_Volume_kg,Delivery_Time_min,Transport_Cost_INR,Fuel_Used_L,Fuel_Efficiency_km_per_L,On_Time
SHP1155,78.92,395,100.45,3447.91,4.4,22.0,0
SHP1156,23.15,439,66.84,1982.05,1.7,25.12,1
SHP1157,55.41,236,78.88,2160.42,2.78,24.7,1
SHP1158,62.12,296,87.93,1972.74,1.19,25.97,1
SHP1159,22.82,268,60.85,1263.13,1.94,17.19,1
SHP1160,59.62,183,90.9,2360.47,3.25,18.16,0
SHP1161,32.58,413,64.76,1583.36,1.0,21.56,1
SHP1162,52.42,376,81.04,2500.5,3.05,23.1,1
SHP1163,52.51,476,82.94,2455.7,3.37,20.97,1
SHP1164,45.18,427,71.58,2313.31,1.53,16.91,1
SHP1165,11.77,211,38.3,1155.27,1.0,22.24,1
SHP1166,67.65,246,70.74,2629.95,4.13,20.51,1
SHP1167,29.06,196,48.95,1489.71,2.16,20.48,1
SHP1168,18.99,118,33.53,1099.07,1.74,15.31,1
SHP1169,8.06,55,47.7,651.54,1.0,22.99,1
SHP1170,49.32,485,82.1,2646.12,2.75,21.36,1
SHP1171,55.82,115,75.41,2143.17,2.06,25.49,1
SHP1172,6.24,171,33.41,730.75,1.0,20.81,1
SHP1173,43.41,170,68.35,1816.62,2.09,22.42,1
SHP1174,21.99,209,45.59,1400.3,1.0,23.08,1
SHP1175,53.39,243,79.11,2292.68,3.59,16.63,1
SHP1176,18.08,56,47.47,1033.52,1.0,27.54,1
SHP1177,56.82,287,74.6,2300.34,2.84,19.92,1
SHP1178,34.01,388,59.18,2012.53,1.2,22.24,1
SHP1179,75.25,202,101.45,2710.6,2.37,22.6,0
SHP1180,15.31,32,42.32,933.05,1.15,18.96,1
SHP1181,30.58,298,55.05,1805.23,1.0,25.62,1
SHP1182,13.51,236,43.47,1405.29,1.0,21.66,1
SHP1183,74.35,374,89.26,2635.05,3.81,20.47,1
SHP1184,70.8,380,94.19,2975.04,2.07,21.35,0
SHP1185,24.35,305,63.27,1651.24,1.0,22.91,1
SHP1186,54.5,292,79.59,2107.14,2.41,21.03,1
SHP1187,66.29,388,110.32,2923.39,3.13,23.2,0
SHP1188,46.64,81,71.78,1727.54,3.22,16.79,1
SHP1189,44.72,103,69.3,1648.24,1.38,19.13,1
SHP1190,23.14,387,50.46,1666.59,1.86,15.65,1
SHP1191,11.98,236,43.34,1247.85,1.0,25.99,1
SHP1192,72.29,361,89.18,2672.86,2.25,25.96,1
SHP1193,72.53,416,79.65,3112.13,2.82,22.57,1
SHP1194,52.48,206,83.88,2133.18,3.32,18.47,1
SHP1195,30.43,38,50.59,1193.32,1.29,26.97,1
SHP1196,31.19,196,53.15,1714.2,1.63,19.49,1
SHP1197,59.45,119,81.03,2082.29,3.05,20.47,1
SHP1198,72.28,415,100.86,3174.32,3.93,21.4,0
SHP1199,71.53,464,94.83,3209.8,3.17,22.13,0
SHP1200,63.49,252,85.8,2216.37,2.84,22.61,1
SHP1201,53.15,422,87.98,2744.91,3.02,22.71,1
SHP1202,11.31,95,38.32,661.66,1.0,20.64,1
SHP1203,17.12,284,52.87,1610.71,1.13,22.67,1
SHP1204,72.39,474,85.04,3438.26,3.22,20.53,1
SHP1205,50.48,303,67.02,2373.44,2.0,22.45,1
SHP1206,5.69,225,44.91,646.92,1.0,22.24,1
SHP1207,12.61,242,35.54,1409.47,1.0,22.91,1
SHP1208,54.76,403,84.66,2957.19,3.14,22.59,1
SHP1209,5.38,71,34.8,696.61,1.0,19.89,1
SHP1210,17.06,358,49.34,1518.49,1.0,22.15,1
SHP1211,46.16,386,69.02,2079.28,2.42,22.63,1
SHP1212,56.89,163,85.73,2308.24,4.67,17.77,1
SHP1213,53.9,392,95.68,2719.29,2.72,20.31,0
SHP1214,21.82,88,51.62,1269.04,1.0,22.52,1
SHP1215,58.41,118,81.09,2645.77,2.41,25.27,1
SHP1216,22.79,415,52.7,1759.41,1.0,23.06,1
SHP1217,29.4,44,44.47,943.31,1.1,25.43,1
SHP1218,60.99,455,88.63,2840.36,3.62,20.0,1
SHP1219,53.72,398,74.06,2095.45,3.31,21.63,1
SHP1220,68.69,488,81.6,2930.38,3.39,23.01,1
SHP1221,54.32,72,80.6,2259.42,3.5,15.18,1
SHP1222,47.62,170,78.21,2005.09,2.6,24.78,1
SHP1223,12.03,163,36.58,1095.26,1.0,16.35,1
SHP1224,32.58,76,59.26,1686.27,1.0,23.49,1
SHP1225,24.89,58,58.88,1108.28,1.0,22.72,1
SHP1226,23.3,128,53.01,1503.67,1.52,15.15,1
SHP1227,77.98,200,86.28,2846.19,5.41,15.28,1
SHP1228,34.48,61,56.56,1457.35,1.28,24.58,1
SHP1229,71.9,205,101.82,2316.39,2.45,24.04,0
SHP1230,52.34,442,83.85,2495.51,3.37,18.8,1
SHP1231,64.61,417,95.13,2551.78,3.3,18.8,0
SHP1232,42.7,242,72.09,1916.57,1.98,22.28,1
SHP1233,48.27,141,64.33,1980.76,2.63,20.97,1
SHP1234,41.94,152,61.55,1545.32,1.8,23.64,1
SHP1235,19.64,182,52.58,1633.6,1.0,22.2,1
SHP1236,59.18,234,88.55,2387.74,2.99,24.96,1
SHP1237,26.06,240,65.12,1531.85,1.2,23.43,1
SHP1238,6.82,254,34.81,1250.86,1.0,22.8,1
SHP1239,53.41,350,83.88,2269.8,2.98,20.12,1
SHP1240,18.28,165,57.88,1295.65,2.13,19.94,1
SHP1241,75.53,258,87.47,2659.69,3.86,20.87,1
SHP1242,76.54,95,103.97,2771.03,3.37,25.6,0
SHP1243,73.61,28,101.23,2168.33,4.34,19.98,0
SHP1244,32.76,93,78.88,1434.85,1.55,21.65,1
SHP1245,6.16,461,48.18,1529.58,1.0,15.39,1
SHP1246,74.62,420,100.6,3084.04,3.0,22.69,0
SHP1247,37.11,272,72.36,1712.77,1.11,26.64,1
SHP1248,77.5,249,103.06,2638.98,3.58,18.67,0
SHP1249,77.27,26,99.93,2257.02,2.95,28.0,0
SHP1250,68.98,193,94.9,2566.0,2.84,21.46,0
SHP1251,27.08,160,54.28,1416.63,1.98,14.57,1
SHP1252,33.88,187,70.88,1763.1,1.6,20.04,1
SHP1253,68.84,189,79.85,2544.7,2.8,24.33,1
SHP1254,28.77,412,62.79,1493.89,1.44,26.0,1
SHP1255,17.71,453,67.65,1754.61,1.0,22.8,1
SHP1256,46.76,302,64.02,2551.69,2.26,24.92,1
SHP1257,75.21,141,86.77,2877.83,5.11,18.06,1
SHP1258,57.2,213,85.32,2342.15,3.17,19.3,1
SHP1259,47.75,24,71.0,1483.63,2.37,16.8,1
SHP1260,12.29,48,33.78,947.7,1.0,19.49,1
SHP1261,51.13,184,71.15,2153.69,2.08,22.9,1
SHP1262,79.25,441,93.4,3124.53,3.32,21.53,0
SHP1263,15.51,358,58.89,1547.55,1.0,23.17,1
SHP1264,43.87,155,66.05,2100.41,2.44,18.66,1
SHP1265,70.8,384,109.16,2744.27,3.63,18.81,0
SHP1266,60.56,340,86.38,2364.87,2.93,21.51,1
SHP1267,57.28,361,81.94,2685.32,3.65,19.49,1
SHP1268,57.69,164,76.56,2219.67,2.24,24.25,1
SHP1269,31.96,346,61.63,2016.15,1.0,19.43,1
SHP1270,27.02,236,57.86,1633.83,1.13,19.76,1
SHP1271,65.7,320,109.35,2558.58,3.44,22.05,0
SHP1272,65.76,151,82.36,2449.21,3.69,20.03,1
SHP1273,70.03,311,89.95,2577.03,4.22,17.91,1
SHP1274,73.49,89,90.07,2382.84,3.65,18.25,0
SHP1275,43.35,271,79.31,2113.54,2.39,22.34,1
SHP1276,42.61,434,62.72,2269.19,3.01,17.6,1
SHP1277,64.87,294,91.59,2973.36,2.23,24.49,0
SHP1278,53.75,464,76.98,2279.05,2.76,19.27,1
SHP1279,57.65,383,88.97,2516.43,3.77,22.54,1
SHP1280,64.68,201,81.53,2224.8,2.89,19.42,1
SHP1281,71.75,186,72.18,2391.87,2.81,18.71,1
SHP1282,30.35,110,59.38,1322.81,2.23,21.62,1
SHP1283,33.17,221,64.29,1453.47,2.09,23.63,1
SHP1284,12.05,365,43.89,1562.56,1.0,20.38,1
SHP1285,48.37,38,63.57,1608.04,2.25,20.84,1
SHP1286,7.7,58,26.96,808.15,1.0,23.02,1
SHP1287,39.92,145,70.95,1608.95,1.78,23.1,1
SHP1288,45.7,470,84.45,2335.72,2.89,20.9,1
SHP1289,26.49,192,48.43,1734.74,1.01,19.89,1
SHP1290,49.31,160,68.14,2145.84,2.85,21.21,1
SHP1291,7.29,261,41.7,798.85,1.0,20.52,1
SHP1292,7.8,239,60.23,751.48,1.0,21.78,1
SHP1293,66.7,145,90.01,2553.61,3.41,18.01,0
SHP1294,32.01,77,49.35,1268.81,1.26,21.69,1
SHP1295,14.53,167,47.94,828.42,1.0,19.2,1
SHP1296,44.17,495,65.81,2586.65,1.56,23.26,1
SHP1297,62.75,475,96.56,2932.97,3.95,19.32,0
SHP1298,21.19,336,68.33,1621.19,1.0,19.36,1
SHP1299,51.72,402,93.83,2559.96,1.87,22.11,0
SHP1300,11.4,380,54.27,1204.03,1.0,21.04,1
